id_partido,equipo,numero,nombre
POR,25,AREIA Antonio,19
POR,27,GOMES Andre,19
POR,30,FERNANDES Leonel,19
POR,33,SILVA Diogo,19
POR,4,PORTELA Pedro,19
POR,5,DUARTE Gilberto,19
POR,8,ITURRIZA Victor,19
POR,82,FRADE Luis,19
POR,88,MAGALHAES Fabio,19
ALG,12,BENMENNI Abdellah,20
ALG,13,CHEHBOUR Riad,20
ALG,15,SAKER Redouane,20
ALG,18,KAABECHE Hichem,20
ALG,2,NAIM Zohir,20
ALG,21,BOUDJENAH Oussem,20
ALG,22,GHEDBANE Khalifa,20
ALG,23,ABDERAHIM Berriah,20
ALG,36,ABDELKADER Rahim,20
ALG,4,HELLAL Nouredine,20
ALG,44,HADJ SADOK Moustapha,20
ALG,6,BERKOUS Messaoud,20
ALG,7,HICHEM Daoud,20
ALG,77,ARIB Reda,20
ALG,8,HADIDI Aaladine,20
ALG,87,AYOUB Abdi,20
ISL,1,GUSTAVSSON Bjorgvin Pall,20
ISL,11,GISLASON Ymir Orn,20
ISL,13,GUDMUNDSSON Olafur Andres,20
ISL,14,MAGNUSSON Omar Ingi,20
ISL,15,PETERSSON Alexander,20
ISL,17,GUNNARSSON Arnor Thor,20
ISL,18,KRISTJANSSON Gisli Thorgeir,20
ISL,20,BJORGVINSSON Agust Eli,20
ISL,21,ARNARSSON Arnar Freyr,20
ISL,22,GUDJONSSON Sigvaldi Bjorn,20
ISL,23,GRETARSSON Oddur,20
ISL,24,MAGNUSSON Magnus Oli,20
ISL,29,VIDARSSON Ellidi Snaer,20
ISL,7,KRISTJANSSON Viggo,20
ISL,8,ELISSON Bjarki Mar,20
ISL,9,JONSSON Elvar Orn,20
AUT,1,BAUER Thomas,21
AUT,16,KAIPER Florian,21
AUT,20,FRIMMEL Sebastian,21
AUT,24,DICKER Daniel,21
AUT,26,HERBURGER Lukas,21
AUT,28,ZEINER Gerald,21
AUT,30,ZIVKOVIC Boris,21
AUT,4,HERMANN Maximilian,21
AUT,44,RANFTL Julian,21
AUT,55,WAGNER Tobias,21
AUT,57,HUBER Balthasar,21
AUT,6,SCHMID Dominik,21
AUT,72,HUTECEK Lukas,21
AUT,77,STEVANOVIC Nikola,21
AUT,8,WEBER Robert,21
AUT,94,NEUHOLD Christoph,21
FRA,10,MEM Dika,21
FRA,11,TOURNAT Nicolas,21
FRA,12,GERARD Vincent,21
FRA,14,MAHE Kentin,21
FRA,19,ABALO Luc,21
FRA,21,GUIGOU Michael,21
FRA,22,KARABATIC Luka,21
FRA,23,FABREGAS Ludovic,21
FRA,24,PARDIN Wesley,21
FRA,25,DESCAT Hugo,21
FRA,27,DIPANDA Adrien,21
FRA,28,PORTE Valentin,21
FRA,37,ACQUEVILLO Jean Jacques,21
FRA,5,REMILI Nedim,21
FRA,7,LAGARDE Romain,21
FRA,9,RICHARDSON Melvyn,21
NOR,12,SAEVERAS Kristian,22
NOR,15,TONNESEN Kent Robin,22
NOR,17,JONDAL Magnus,22
NOR,18,AAR William,22
NOR,19,BJORNSEN Kristian,22
NOR,23,JOHANNESSEN Goran Sogard,22
NOR,24,O`SULLIVAN Christian,22
NOR,27,REINKIND Harald,22
NOR,30,BERGERUD Torbjorn Sittrup,22
NOR,32,SOLSTAD Thomas,22
NOR,44,GULLIKSEN Kevin Maagero,22
NOR,5,SAGOSEN Sander,22
NOR,7,OVERJORDET Sander,22
NOR,71,BLONZ Alexandre Christoffersen,22
NOR,8,MYRHOL Bjarte,22
NOR,9,JAKOBSEN Henrik,22
SUI,11,SIDOROWICZ Roman,22
SUI,12,GRAZIOLI Leonard,22
SUI,15,RAEMY Nicolas,22
SUI,16,PORTNER Nikola,22
SUI,17,ROTHLISBERGER Samuel,22
SUI,2,SCHMID Andy,22
SUI,24,TOMINEC Nik,22
SUI,29,ZEHNDER Samuel,22
SUI,31,BRINGOLF Aurel,22
SUI,34,MILOSEVIC Alen,22
SUI,36,NOVAK Philip,22
SUI,4,RUBIN Lenny,22
SUI,44,BEN ROMDHANE Medhi,22
SUI,6,TYNOWSKI Cedrie,22
SUI,8,SVAJLEN Michal,22
SUI,9,LIER Marvin,22
BLR,17,KRYVENKA Uladzislau,23
BLR,20,KISHOU Aliaksei,23
BLR,23,YURYNOK Andrei,23
BLR,3,KULESH Uladzislau,23
BLR,33,MAROZ Ivan,23
BLR,43,SELVIASIUK Artsiom,23
BLR,47,PADSHYVALAU Aliaksandr,23
BLR,50,KARALEK Artsem,23
BLR,55,VAILUPAU Mikita,23
BLR,62,SAMOILA Kiryl,23
BLR,7,KULAK Artsiom,23
BLR,74,BOKHAN Viachaslau,23
BLR,8,RUDZ Artur,23
BLR,9,ASTRASHAPKIN Aleh,23
BLR,95,GAYDUCHENKO Vadim,23
BLR,98,ALIOKHIN Mikalai,23
KOR,10,YU Chanmin,23
KOR,13,LEE Junhee,23
KOR,19,BAEK Seunggeon,23
KOR,21,LEE Seungmin,23
KOR,22,LEE Byeongju,23
KOR,23,JEON Youngje,23
KOR,24,KIM Myeongjong,23
KOR,26,KIM Jinyoung,23
KOR,27,YU Myeonghan,23
KOR,28,KIM Jinho,23
KOR,33,KIM Jaesoon,23
KOR,77,LEE Changwoo,23
KOR,83,KANG Jungu,23
KOR,87,KIM Jiun,23
KOR,88,JANG Junyoung,23
KOR,97,KIM Taeung,23
RHF,16,PAVLENKO Dmitrii,24
RHF,17,KOTOV Aleksandr,24
RHF,23,OSTASHCHENKO Roman,24
RHF,27,VASILEV Denis,24
RHF,28,KUDINOV Sergei,24
RHF,30,ERMAKOV Aleksandr,24
RHF,33,SHISHKAREV Daniil,24
RHF,36,IVANOV Sergei,24
RHF,44,SOROKA Igor,24
RHF,5,KISELEV Dmitrii,24
RHF,55,VALIULLIN Azat,24
RHF,78,ANDREEV Pavel,24
RHF,87,KIREEV Viktor,24
RHF,89,ZHITNIKOV Dmitrii,24
RHF,97,FOKIN Aleksei,24
RHF,99,KOSOROTOV Sergei Mark,24
SLO,11,DOLENEC Jure,24
SLO,13,CINGESAR Darko,24
SLO,16,VUJOVIC Miljan,24
SLO,17,CEHTE Nejc,24
SLO,2,SKUBE Stas,24
SLO,21,GAJIC Dragan,24
SLO,22,GABER Matej,24
SLO,23,ZARABEC Miha,24
SLO,26,FERLIN Klemen,24
SLO,3,BLAGOTINSEK Blaz,24
SLO,34,OVNICEK Rok,24
SLO,44,BOMBAC Dean,24
SLO,5,HENIGMAN Nik,24
SLO,51,MACKOVSEK Borut,24
SLO,8,JANC Blaz,24
SLO,95,SUHOLEZNIK Matic,24
ARG,11,MOSCARIELLO Lucas Dario,25
ARG,15,CAROU MARCEL Gonzalo Matias,25
ARG,18,FISCHER Guillermo Jose,25
ARG,19,MARTINEZ CAMI Pedro,25
ARG,2,FERNANDEZ Federico Gaston,25
ARG,20,MARTINEZ Ramiro,25
ARG,22,MOURINO Gaston Alberto,25
ARG,3,PIZARRO Federico,25
ARG,4,SIMONET Sebastian Alejandro,25
ARG,40,MACIEL Leonel Carlos Sergio,25
ARG,5,VAINSTEIN Pablo,25
ARG,7,PIZARRO Ignacio,25
ARG,77,BONANNO Nicolas,25
ARG,8,SIMONET Pablo Ariel,25
ARG,87,BAR Juan Manuel,25
ARG,9,BARONETTO Santiago,25
BRN,11,ALI Abdulla,25
BRN,14,QAMBAR Qasim,25
